condition,drugName,rating,usefulCount
Benign Prostatic Hyperplasia,Tamsulosin,2,11
Birth Control,Gianvi,6,1
Strep Throat,Penicillin VK,10,12
Upper Respiratory Tract Infection,Sulfamethoxazole / trimethoprim,1,1
Anxiety,Propranolol,5,4
"Nausea/Vomiting, Chemotherapy Induced",Sancuso,10,2
Depression,Venlafaxine,1,26
Constipation,MiraLax,2,23
Bladder Infection,Nitrofurantoin,6,7
Atopic Dermatitis,Protopic,5,7
Anxiety,Mirtazapine,1,24
Pain,Hydromorphone,9,14
"Constipation, Chronic",Linaclotide,6,44
Urinary Tract Infection,Amoxicillin,9,3
Birth Control,Etonogestrel,10,5
Emergency Contraception,Levonorgestrel,9,40
Bacterial Infection,Metronidazole,8,21
Pain,Methadone,8,47
Obesity,Bupropion / naltrexone,1,22
GERD,Nexium,9,43
Benign Prostatic Hyperplasia,Tamsulosin,3,73
COPD,Roflumilast,8,37
Labor Pain,Stadol,10,4
Osteoarthritis,Hylan g-f 20,10,23
Bacterial Vaginitis,Metronidazole,8,10
Obesity,Belviq,10,89
Depression,Escitalopram,8,12
Obesity,Bupropion / naltrexone,1,10
Birth Control,Mirena,10,3
Multiple Sclerosis,Copaxone,9,41
Acne,Isotretinoin,9,12
Opiate Dependence,Subutex,10,77
Depression,Effexor XR,10,40
Birth Control,Desogestrel / ethinyl estradiol,10,14
Depression,Duloxetine,9,40
Smoking Cessation,Varenicline,10,16
Birth Control,Nexplanon,6,0
,Dabigatran,4,4
Bipolar Disorde,Lamotrigine,10,81
"Herpes Simplex, Suppression",Valacyclovir,10,75
Anxiety and Stress,Paxil,4,28
Abnormal Uterine Bleeding,Nora-Be,5,19
Depression,Wellbutrin,2,22
Birth Control,Medroxyprogesterone,8,10
Birth Control,Etonogestrel,10,1
Birth Control,Nexplanon,10,5
Depression,Zoloft,4,6
"Constipation, Drug Induced",Amitiza,1,8
Birth Control,Liletta,5,7
Diarrhea,Atropine / diphenoxylate,10,7
Pain,Oxycodone,10,40
Birth Control,Gildess Fe 1 / 20,1,4
Bipolar Disorde,Lamotrigine,8,77
Social Anxiety Disorde,Venlafaxine,1,3
Panic Disorde,Sertraline,10,102
Weight Loss,Qsymia,9,22
Migraine,Maxalt,10,5
Interstitial Cystitis,Elmiron,1,22
Benign Essential Trem,Propranolol,10,105
Cough,Homatropine / hydrocodone,10,19
Generalized Anxiety Disorde,Escitalopram,10,66
Seizure Prevention,Lamotrigine,9,19
Birth Control,Levonorgestrel,4,0
Migraine Prevention,Topiramate,10,29
Obesity,Lorcaserin,10,37
Anorexia,Cyproheptadine,10,168
Weight Loss,Lorcaserin,10,43
Bipolar Disorde,Lithium,3,15
Migraine Prevention,OnabotulinumtoxinA,10,36
Weight Loss,Lorcaserin,10,131
"Hypogonadism, Male",Testosterone,9,27
Pain,Toradol,1,12
Birth Control,Camrese,7,5
Hereditary Angioedema,Firazyr,10,3
Vaginal Yeast Infection,Miconazole,4,0
Hepatitis C,Sofosbuvir,1,0
Depression,Fluoxetine,6,15
Herpes Simplex,Acyclovir,10,44
Abnormal Uterine Bleeding,Sprintec,1,1
Endometriosis,Loestrin 24 Fe,9,29
Obesity,Phentermine,10,17
Anxiety and Stress,Fluvoxamine,1,40
Hepatitis C,Ledipasvir / sofosbuvir,10,49
Bronchitis,Biaxin,1,21
Birth Control,Mirena,6,5
Birth Control,Yaz,10,6
Sinusitis,Sulfamethoxazole / trimethoprim,1,11
Anxiety,BuSpar,3,28
Not Listed / Othe,Prednisone,9,7
Hashimoto's disease,Levothyroxine,10,3
ibromyalgia,Milnacipran,5,11
Anxiety,Clonazepam,3,4
Pain,Acetaminophen / hydrocodone,9,12
Vaginal Yeast Infection,Miconazole,4,4
Insomnia,Olanzapine,6,85
Restless Legs Syndrome,Ultram,1,60
Neuropathic Pain,Pregabalin,3,28
Obstructive Sleep Apnea/Hypopnea Syndrome,Armodafinil,10,15
Weight Loss,Qsymia,2,13
Birth Control,Ethinyl estradiol / levonorgestrel,4,2
Pain,Vicodin,10,20
Dermatologic Lesion,Zinc oxide,8,18
Irritable Bowel Syndrome,Amitriptyline,10,25
"Diabetes, Type 2",Dulaglutide,1,12
Birth Control,Ethinyl estradiol / norethindrone,3,5
Overactive Bladde,Oxytrol,5,10
Sinusitis,Cefuroxime,10,56
Bronchitis,Levaquin,8,38
Bacterial Vaginitis,Metronidazole,8,15
Anxiety and Stress,Citalopram,9,35
Chronic Pain,Morphine,5,9
Emergency Contraception,Levonorgestrel,10,20
Chronic Pain,Percocet,10,140
Birth Control,Ethinyl estradiol / levonorgestrel,1,4
Weight Loss,Phentermine / topiramate,1,23
ADHD,Methylphenidate,5,5
Anxiety and Stress,Celexa,10,102
Acne,Epiduo,8,15
Depression,Brexpiprazole,1,33
Birth Control,Lo Loestrin Fe,10,1
Anxiety,Buspirone,6,23
Urinary Tract Infection,Nitrofurantoin,7,36
Dietary Supplementation,Multivitamin,10,185
Urinary Tract Infection,Uribel,10,104
Social Anxiety Disorde,Zoloft,8,44
Insomnia,Suvorexant,10,24
"Asthma, Maintenance",Qvar,1,23
Irritable Bowel Syndrome,Viberzi,10,0
"Diabetes, Type 2",Liraglutide,9,20
Emergency Contraception,Levonorgestrel,10,1
Depression,Escitalopram,10,115
Birth Control,Ethinyl estradiol / norgestimate,6,19
Rheumatoid Arthritis,Relafen,6,38
Weight Loss,Phentermine,9,19
Smoking Cessation,Chantix,9,7
Obesity,Saxenda,7,8
Birth Control,Copper,8,5
Abnormal Uterine Bleeding,Medroxyprogesterone,7,35
Allergic Rhinitis,QNASL,7,2
Psoriasis,Desonide,9,16
Amenorrhea,Medroxyprogesterone,9,9
Conjunctivitis,Zymar,8,10
Abnormal Uterine Bleeding,Conjugated estrogens,1,2
"Diabetes, Type 2",Exenatide,1,14
Seizures,Keppra,7,23
Birth Control,TriNessa,10,19
Anxiety,Lorazepam,1,31
GERD,Lansoprazole,4,39
Anxiety,Buspirone,3,41
"Constipation, Chronic",Lubiprostone,8,25
Cough and Nasal Congestion,Guaifenesin / pseudoephedrine,1,5
Anxiety,Lexapro,5,2
Pseudotumor Cerebri,Acetazolamide,10,7
Pain,Vicodin,9,8
"Diabetes, Type 1","Insulin inhalation, rapid acting",10,27
Anxiety,Lorazepam,9,27
Insomnia,Eszopiclone,9,20
ibromyalgia,Milnacipran,3,19
Pain,Ketamine,10,18
Depression,Pristiq,6,4
Birth Control,Etonogestrel,1,0
Chronic Pain,Acetaminophen / oxycodone,9,63
Opiate Dependence,Buprenorphine / naloxone,10,15
Acne,Minocycline,8,2
Migraine Prevention,Topiramate,9,75
Influenza,Tamiflu,9,16
Anxiety,Paxil,10,63
Birth Control,Ethinyl estradiol / levonorgestrel,7,1
Premature Lab,Hydroxyprogesterone,7,3
Anxiety and Stress,Sertraline,7,12
Social Anxiety Disorde,Sertraline,6,4
"Asthma, Maintenance",Singulair,10,41
Birth Control,Levonorgestrel,9,2
Anxiety and Stress,Prozac,9,305
Birth Control,Safyral,9,23
ADHD,Vyvanse,9,1
Insomnia,Lunesta,1,16
Birth Control,ParaGard,10,8
Migraine Prevention,OnabotulinumtoxinA,1,7
Acne,Doxycycline,9,10
Birth Control,Etonogestrel,5,0
Anxiety,Lorazepam,9,152
Methicillin-Resistant Staphylococcus Aureus Infection,Linezolid,8,29
Allergic Rhinitis,Loratadine,4,15
Inflammatory Conditions,Prednisone,10,37
"Diabetes, Type 2",Empagliflozin,10,66
Birth Control,Etonogestrel,6,9
Generalized Anxiety Disorde,Escitalopram,10,22
Pain,Methadone,10,118
ibromyalgia,Gabapentin,6,21
Urinary Tract Infection,Macrobid,10,18
Acne,Duac,10,13
Opiate Dependence,Suboxone,10,10
Muscle Spasm,Tizanidine,8,42
Abnormal Uterine Bleeding,Ortho Cyclen,8,4
Nausea/Vomiting,Zofran,1,14
"Onychomycosis, Toenail",Efinaconazole,9,19
Anxiety and Stress,Fluoxetine,7,18
Endometriosis,LoSeasonique,4,7
Emergency Contraception,Aftera,10,13
Depression,Bupropion,7,42
Keratoconjunctivitis Sicca,Cyclosporine,1,31
Premature Lab,Makena,10,4
Psoriatic Arthritis,Apremilast,6,12
Birth Control,Lo Loestrin Fe,10,18
Muscle Spasm,Orphenadrine,1,3
High Blood Pressure,Amlodipine,1,74
Erectile Dysfunction,Viagra,9,59
Urinary Tract Infection,Nitrofurantoin,10,97
Acne,Acanya,8,38
Bipolar Disorde,Topiramate,9,41
Anxiety,Buspirone,9,118
Smoking Cessation,Chantix,9,15
Birth Control,Medroxyprogesterone,6,2
Depression,Risperdal,9,53
Birth Control,Medroxyprogesterone,10,16
Insomnia,Trazodone,10,35
Birth Control,Camrese,5,1
Birth Control,Etonogestrel,1,2
Not Listed / Othe,Acyclovir,10,4
ibromyalgia,Cymbalta,10,80
Insomnia,Eszopiclone,5,23
Migraine,Eletriptan,10,8
Herpes Simplex,Docosanol,9,4
Constipation,Magnesium citrate,8,30
Smoking Cessation,Varenicline,10,23
Migraine,Naratriptan,10,0
"Crohn's Disease, Maintenance",Adalimumab,6,33
Emergency Contraception,Levonorgestrel,10,13
Acne,Spironolactone,3,5
"COPD, Maintenance",Combivent,8,2
Reflex Sympathetic Dystrophy Syndrome,Amitriptyline,10,8
Hyperhidrosis,Aluminum chloride hexahydrate,10,2
Weight Loss,Adipex-P,10,25
Erectile Dysfunction,Cialis,10,20
Birth Control,Etonogestrel,5,0
Nausea/Vomiting,Promethazine,9,15
Depression,Seroquel,5,5
Birth Control,Skyla,1,7
Depression,Mirtazapine,5,13
High Cholesterol,Trilipix,10,31
HIV Infection,Atripla,10,3
Opiate Dependence,Subutex,10,53
Breast Cance,Anastrozole,10,114
COPD,Incruse Ellipta,2,17
mance Anxiety,Propranolol,10,16
Cluster Headaches,Sumatriptan,8,20
"Diabetes, Type 2",Insulin isophane,10,46
Restless Legs Syndrome,Ropinirole,5,13
Birth Control,Ethinyl estradiol / norethindrone,7,6
Skin Cance,Fluorouracil,10,32
Insomnia,Doxepin,3,41
Birth Control,Nexplanon,2,7
Birth Control,Etonogestrel,8,14
Birth Control,Orsythia,3,5
Abnormal Uterine Bleeding,Seasonique,1,10
Obesity,Belviq,10,111
"Diabetes, Type 2",Liraglutide,9,9
Pain,Lortab,10,12
Social Anxiety Disorde,Paroxetine,10,11
Birth Control,Ethinyl estradiol / norethindrone,7,10
Premature Lab,Hydroxyprogesterone,10,14
High Cholesterol,Crestor,2,125
Birth Control,Chateal,10,18
Weight Loss,Phentermine / topiramate,10,88
Insomnia,Zolpidem,8,63
Panic Disorde,Sertraline,10,48
Anxiety and Stress,Celexa,10,189
Erectile Dysfunction,Tadalafil,5,4
Acne,Sulfamethoxazole / trimethoprim,10,31
Birth Control,Levonorgestrel,7,5
Obesity,Phentermine,10,12
Anxiety,Amitriptyline / perphenazine,10,18
Arrhythmia,Tikosyn,8,92
Birth Control,Beyaz,6,8
Emergency Contraception,Plan B One-Step,10,20
High Blood Pressure,Lisinopril,10,47
min),Metformin,3,57
Acne,Retin-A,9,43
Insomnia,Trazodone,6,26
Migraine Prevention,Topamax,9,29
Seizures,Levetiracetam,9,22
Birth Control,Sprintec,7,0
HIV Infection,Triumeq,8,14
Pain,Amitriptyline,7,33
Bowel Preparation,Suprep Bowel Prep Kit,10,24
Uterine Fibroids,Lupron Depot,7,42
Vaginal Yeast Infection,Miconazole,1,2
Bowel Preparation,OsmoPrep,1,2
Weight Loss,Phentermine / topiramate,10,78
Acne,Loestrin 24 Fe,1,7
Skin or Soft Tissue Infection,Clindamycin,1,1
Depression,Vortioxetine,1,29
Amenorrhea,Provera,8,32
Rheumatoid Arthritis,Humira,5,62
Neuropathic Pain,Lyrica,10,37
Seizure Prevention,Topamax,9,42
Kidney Infections,Sulfamethoxazole / trimethoprim,10,10
Birth Control,Drospirenone / ethinyl estradiol,7,7
Erectile Dysfunction,Alprostadil,2,42
Underactive Thyroid,Armour Thyroid,10,79
"Diabetes, Type 2",Exenatide,2,1
Rheumatoid Arthritis,Hydroxychloroquine,3,103
Migraine Prevention,Nadolol,8,25
Birth Control,Ethinyl estradiol / norethindrone,9,0
Acne,Doxycycline,9,9
Birth Control,Estarylla,2,1
Major Depressive Disorde,Wellbutrin SR,7,19
Panic Disorde,Fluoxetine,3,20
Bipolar Disorde,Quetiapine,9,22
Birth Control,Mirena,2,0
Depression,Venlafaxine,9,15
Social Anxiety Disorde,Zoloft,8,18
Condylomata Acuminata,Podofilox,9,25
Birth Control,Generess Fe,9,17
Birth Control,Nexplanon,10,10
Birth Control,Medroxyprogesterone,1,10
Birth Control,Balziva,10,0
Pain,Fentanyl,9,13
Depression,Abilify,7,91
ADHD,Adderall,9,44
Skin Rash,Prednisone,8,34
Bipolar Disorde,Wellbutrin,9,76
Anxiety,Lorazepam,7,15
Obesity,Liraglutide,10,43
Bladder Infection,Macrobid,10,21
Acne,Adapalene,2,28
"Conjunctivitis, Bacterial",Tobramycin,10,8
Obesity,Saxenda,10,47
Psoriatic Arthritis,Otezla,1,15
Irritable Bowel Syndrome,Eluxadoline,8,42
Weight Loss,Saxenda,4,5
Nausea/Vomiting,Ondansetron,8,7
Chronic Pain,Morphine / naltrexone,9,2
Bacterial Infection,Metronidazole,8,14
GERD,Omeprazole,10,58
Depression,Venlafaxine,9,66
Non-Small Cell Lung Cance,Nivolumab,1,30
Acne,Accutane,9,12
Birth Control,Etonogestrel,3,6
Bowel Preparation,Suprep Bowel Prep Kit,7,24
"Constipation, Chronic",Linzess,10,64
Smoking Cessation,Chantix,9,13
Smoking Cessation,Varenicline,10,8
Erectile Dysfunction,Tadalafil,9,112
ADHD,Lisdexamfetamine,9,8
Birth Control,Ethinyl estradiol / norethindrone,10,12
Birth Control,Desogestrel / ethinyl estradiol,9,3
Pain,Orudis KT,10,25
Bipolar Disorde,Quetiapine,1,24
ibromyalgia,Neurontin,7,23
Smoking Cessation,Varenicline,9,3
Acne,Spironolactone,10,7
Mountain Sickness / Altitude Sickness,Diamox,9,79
Weight Loss,Liraglutide,6,75
Nausea/Vomiting,Metoclopramide,10,2
Rheumatoid Arthritis,Leflunomide,5,136
Pain,Methadone,10,35
Opiate Dependence,Suboxone,10,18
Birth Control,Medroxyprogesterone,1,22
Smoking Cessation,Varenicline,10,15
Birth Control,Implanon,5,0
Melasma,Tri-Luma,1,23
Birth Control,Desogestrel / ethinyl estradiol,9,5
Insomnia,Suvorexant,1,1
Birth Control,Deblitane,6,6
Depression,Effexor,1,24
Pain,Naproxen,1,2
Insomnia,Quetiapine,10,45
Bipolar Disorde,Depakote,10,118
Hepatitis C,Elbasvir / grazoprevir,5,8
Depression,Vilazodone,10,243
Headache,Aspirin / butalbital / caffeine,7,3
Smoking Cessation,Nicoderm CQ,10,6
"Asthma, Maintenance",Salmeterol,1,0
Birth Control,Ethinyl estradiol / norethindrone,7,9
Emergency Contraception,Plan B,10,27
Urinary Tract Stones,Tamsulosin,10,26
Panic Disorde,Zoloft,6,24
Sedation,Trazodone,10,44
Narcolepsy,Provigil,9,65
Birth Control,Medroxyprogesterone,5,5
Birth Control,Etonogestrel,7,2
Bacterial Vaginitis,Metronidazole,8,4
Hypersomnia,Armodafinil,1,5
Osteoarthritis,Euflexxa,9,24
Benign Prostatic Hyperplasia,Silodosin,8,1
Depression,Tramadol,10,101
Bacterial Infection,Clindamycin,7,3
Muscle Spasm,Flexeril,8,91
Weight Loss,Phentermine,8,11
Bipolar Disorde,Lamotrigine,9,28
Birth Control,Etonogestrel,10,3
Birth Control,Etonogestrel,10,10
Birth Control,Ethinyl estradiol / levonorgestrel,1,0
Bipolar Disorde,Asenapine,9,13
HIV Infection,Cobicistat / elvitegravir / emtricitabine / tenofovir,10,9
Restless Legs Syndrome,Tramadol,10,36
Major Depressive Disorde,Bupropion,10,15
Chronic Pain,Oxycodone,8,6
Weight Loss,Phentermine / topiramate,1,5
Postmenopausal Symptoms,Conjugated estrogens,10,65
Migraine,Almotriptan,8,1
Psoriasis,Stelara,5,66
GERD,Aciphex,8,25
Underactive Thyroid,Thyroid desiccated,6,139
Vaginal Yeast Infection,Miconazole,3,3
Insomnia,Seroquel,7,115
Emergency Contraception,Plan B One-Step,5,5
ADHD,Atomoxetine,6,10
Weight Loss,Phentermine,7,20
Acne,Adapalene / benzoyl peroxide,10,11
Hashimoto's disease,Armour Thyroid,10,48
Pain,Acetaminophen / oxycodone,10,38
Urticaria,Cetirizine,10,8
Restless Legs Syndrome,Mirapex,7,69
Ovarian Cysts,Ethinyl estradiol / norgestimate,4,6
Rosacea,Brimonidine,1,6
Breast Cance,Femara,1,136
Cough,Dextromethorphan,3,15
Seasonal Affective Disorde,Bupropion,10,19
Anxiety,Buspirone,8,10
Depression,Sertraline,10,69
"Diabetes, Type 2",Exenatide,10,16
Anxiety,Alprazolam,10,2
Anxiety and Stress,Amitriptyline,10,282
"Diabetes, Type 2",Exenatide,1,25
Birth Control,Mirena,8,4
Anxiety,Cymbalta,8,81
Pain,Tapentadol,6,52
Birth Control,ParaGard,8,11
Hepatitis C,Ledipasvir / sofosbuvir,10,20
Anxiety and Stress,Citalopram,1,39
Birth Control,Etonogestrel,8,5
Depression,Prozac,1,31
Migraine,Metoclopramide,1,17
Major Depressive Disorde,Venlafaxine,9,35
Motion Sickness,Transderm-Scop,9,9
Birth Control,Lo Loestrin Fe,7,0
Birth Control,Ortho Evra,10,10
Major Depressive Disorde,Remeron,9,100
Urinary Tract Infection,Nitrofurantoin,1,12
Muscle Spasm,Tizanidine,9,29
Major Depressive Disorde,Bupropion,10,23
Opiate Dependence,Vivitrol,1,38
Osteoarthritis,Hylan g-f 20,10,3
Birth Control,Etonogestrel,2,9
Depression,Celexa,10,414
Birth Control,Errin,4,11
"Diabetes, Type 2",Dulaglutide,10,19
Acne,Tretinoin,10,63
Depression,Desvenlafaxine,9,40
Insomnia,Gabapentin,8,2
Atrial Fibrillation,Diltiazem,10,82
Anxiety,Valium,9,88
Post Traumatic Stress Disorde,Prazosin,10,49
Bowel Preparation,Magnesium sulfate / potassium sulfate / sodium sulfate,10,65
High Blood Pressure,Norvasc,1,59
Bipolar Disorde,Geodon,10,19
ADHD,Amphetamine,5,5
Acne,Doxycycline,10,21
Alcohol Withdrawal,Librium,10,46
Pain,Hydrocodone / ibuprofen,10,9
Emergency Contraception,Ulipristal,1,25
Keratosis,Imiquimod,10,38
Insomnia,Somnote,10,16
Birth Control,Ethinyl estradiol / norgestimate,9,14
Birth Control,Portia,10,1
Depression,Mirtazapine,7,12
Birth Control,Norethindrone,7,10
Abnormal Uterine Bleeding,Provera,7,71
Migraine Prevention,Nortriptyline,9,0
Muscle Spasm,Norflex,10,84
Dry Skin,EpiCeram,9,26
Pain,Tylenol with Codeine #3,9,22
Seizure Prevention,Klonopin,5,5
Kidney Infections,Levofloxacin,9,35
Anxiety,Buspirone,9,316
Acne,Benzoyl peroxide / clindamycin,10,32
Bipolar Disorde,Lamotrigine,10,8
emale Infertility,Clomid,6,18
Headache,Acetaminophen / butalbital / caffeine,1,9
Hyperhidrosis,Xerac AC,10,7
Plaque Psoriasis,Siliq,10,31
Birth Control,Nexplanon,1,1
Nausea/Vomiting,Lorazepam,10,37
Anxiety,Lexapro,7,47
Anxiety,Lorazepam,10,43
High Cholesterol,Rosuvastatin,9,75
Birth Control,Tri-Sprintec,8,6
Methicillin-Resistant Staphylococcus Aureus Infection,Zyvox,9,22
ibromyalgia,Lyrica,3,68
Post Traumatic Stress Disorde,Zoloft,5,27
Rheumatoid Arthritis,Rituximab,10,134
Birth Control,Ethinyl estradiol / levonorgestrel,10,2
"Constipation, Chronic",Linzess,9,113
Overactive Bladde,Myrbetriq,10,44
Bipolar Disorde,Lurasidone,2,0
Birth Control,Nexplanon,10,5
Constipation,Dulcolax,10,8
ADHD,Concerta,9,6
Vaginal Yeast Infection,Fluconazole,1,10
ADHD,Adderall XR,9,14
Depression,Sertraline,8,22
COPD,Symbicort,10,78
COPD,Symbicort,10,109
Birth Control,Ethinyl estradiol / levonorgestrel,1,2
Anxiety and Stress,Citalopram,10,358
Bipolar Disorde,Olanzapine,10,6
Emergency Contraception,Plan B One-Step,10,6
"Crohn's Disease, Maintenance",Remicade,9,14
Insomnia,Zolpidem,10,22
Depression,Vortioxetine,7,33
Migraine Prevention,Amitriptyline,10,40
Weight Loss,Phentermine,7,134
Emergency Contraception,Plan B,10,16
Birth Control,Blisovi 24 Fe,2,2
ibromyalgia,Cymbalta,8,43
Migraine,Diclofenac,9,9
Chronic Pain,Fentanyl Transdermal System,9,54
Birth Control,Etonogestrel,8,0
Ovarian Cysts,Ortho Tri-Cyclen,4,7
Bipolar Disorde,Lamictal,6,13
Insomnia,Zolpidem,1,5
Acne,Minocycline,8,2
Birth Control,Ethinyl estradiol / norelgestromin,8,0
Smoking Cessation,Zyban,10,35
"Hypogonadism, Male",Testosterone,8,15
Schizophrenia,Abilify,7,28
Weight Loss,Qsymia,2,26
Weight Loss,Phentermine,10,30
Birth Control,Aubra,2,1
Schizophrenia,Olanzapine,9,25
Cold Sores,Valtrex,10,13
Sinusitis,Levaquin,10,60
ADHD,Intuniv,9,84
Paranoid Disorde,Risperidone,9,16
Anxiety,Xanax,3,20
ADHD,Dexmethylphenidate,8,33
Bipolar Disorde,Lithium,10,70
Weight Loss,Lorcaserin,10,67
Generalized Anxiety Disorde,Escitalopram,10,46
Migraine Prevention,OnabotulinumtoxinA,8,0
Birth Control,Etonogestrel,6,0
Migraine Prevention,Lisinopril,1,1
Bowel Preparation,Magnesium sulfate / potassium sulfate / sodium sulfate,10,13
ADHD,Adderall,6,32
Abnormal Uterine Bleeding,Depo-Provera,1,10
Anxiety and Stress,Prozac,9,83
Bulimia,Venlafaxine,7,9
High Cholesterol,Rosuvastatin,1,36
Constipation,Dulcolax,2,7
Dysuria,Azo-Standard,8,24
Autism,Memantine,8,52
Chronic Pain,Fentanyl,6,21
Birth Control,Kyleena,10,2
Depression,Abilify,10,310
Nausea/Vomiting,Prochlorperazine,1,7
Obstructive Sleep Apnea/Hypopnea Syndrome,Armodafinil,6,14
Insomnia,Doxepin,10,74
Weight Loss,Liraglutide,1,6
"Constipation, Chronic",Lubiprostone,9,125
Birth Control,Junel Fe 1 / 20,4,9
Pain,Acetaminophen / hydrocodone,8,17
Birth Control,Ethinyl estradiol / norelgestromin,9,17
Birth Control,Etonogestrel,8,4
Birth Control,Gildess Fe 1 / 20,5,1
GERD,Pantoprazole,1,47
Depression,Bupropion,10,111
Pain,Acetaminophen / propoxyphene,9,42
Hyperhidrosis,Hypercare,10,7
Depression,Trintellix,9,93
34</span> users found this comment helpful.,Ultram,10,34
Schizoaffective Disorde,Asenapine,1,15
Rosacea,Oracea,6,7
Vaginal Yeast Infection,Miconazole,1,6
Anxiety and Stress,Paroxetine,9,49
"Conjunctivitis, Allergic",Bepotastine,10,3
Birth Control,Skyla,9,9
Pain,Oxycodone,8,25
Postural Orthostatic Tachycardia Syndrome,Midodrine,3,34
Acne,Solodyn,1,7
,Zolpidem,8,3
Acne,Yasmin,7,2
Birth Control,Desogestrel / ethinyl estradiol,5,3
Abnormal Uterine Bleeding,Medroxyprogesterone,10,22
Pain,Gabapentin,9,65
Nausea/Vomiting,Compazine,1,11
Migraine,Metoclopramide,1,10
Birth Control,Liletta,3,0
Birth Control,Ethinyl estradiol / norethindrone,1,16
Cold Symptoms,Codimal DM,10,2
Irritable Bowel Syndrome,Dicyclomine,10,101
Primary Immunodeficiency Syndrome,Immune globulin subcutaneous,9,4
High Blood Pressure,Azor,1,11
Dry Eye Disease,Xiidra,1,16
Insomnia,Clonazepam,10,58
ibromyalgia,Ultram,7,32
Tinea Cruris,Fulvicin U / F,10,10
Anxiety,Prochlorperazine,10,3
Anxiety,Alprazolam,9,10
Depression,Paxil,10,59
Bladder Infection,Nitrofurantoin,1,7
"Diabetes, Type 2",Dulaglutide,10,47
Irritable Bowel Syndrome,Psyllium,2,39
Chronic Pain,Oxycodone,10,18
Birth Control,Ethinyl estradiol / levonorgestrel,8,3
Irritable Bowel Syndrome,Viberzi,1,8
"Onychomycosis, Toenail",Ketoconazole,10,5
Social Anxiety Disorde,Zoloft,1,11
Depression,Amitriptyline,10,98
Chronic Pain,Acetaminophen / oxycodone,1,2
Hashimoto's disease,Levothyroxine,1,28
Birth Control,Lo Loestrin Fe,10,8
Schizoaffective Disorde,Risperidone,4,27
Osteoarthritis,Sodium hyaluronate,3,20
Social Anxiety Disorde,Zoloft,9,42
Chronic Idiopathic Constipation,Plecanatide,10,31
Cough,Benzonatate,9,22
Bipolar Disorde,Lithobid,1,58
Anxiety,Escitalopram,4,7
Melasma,Fluocinolone / hydroquinone / tretinoin,10,40
Birth Control,Implanon,9,0
Muscle Spasm,Zanaflex,8,70
Bipolar Disorde,Lurasidone,5,27
Chlamydia Infection,Azithromycin,10,11
ibromyalgia,Duloxetine,1,54
Birth Control,Tri-Previfem,6,0
Depression,Venlafaxine,9,4
,Ethinyl estradiol / norgestimate,8,4
Migraine Prevention,Nortriptyline,1,39
Chronic Fatigue Syndrome,Lisdexamfetamine,10,18
Overactive Bladde,Oxytrol,7,30
Osteoporosis,Calci-Chew,8,5
Vitamin D Deficiency,Vitamin D2,10,135
Constipation,Bisacodyl,1,9
"Diabetes, Type 2",Exenatide,9,4
Psoriasis,Humira,6,22
Rosacea,MetroGel,7,46
Birth Control,Implanon,1,0
Migraine Prevention,Topiramate,9,76
Herpes Simplex,Docosanol,1,12
Vaginal Yeast Infection,Tioconazole,1,2
"Diabetes, Type 2",Byetta,3,6
Emergency Contraception,Plan B,10,36
Benign Prostatic Hyperplasia,Tamsulosin,4,32
Anxiety,Diazepam,4,13
Depression,Escitalopram,10,17
Multiple Sclerosis,Tysabri,10,50
Birth Control,Etonogestrel,10,7
Anxiety,Xanax XR,3,56
Bacterial Infection,Flagyl,10,10
Seizures,Dilantin,1,16
Birth Control,Lo Loestrin Fe,8,10
Anxiety,Klonopin,9,57
Birth Control,Ethinyl estradiol / norgestimate,5,1
Birth Control,Ethinyl estradiol / norethindrone,1,5
Weight Loss,Lorcaserin,10,49
Schizophrenia,Geodon,10,25
Birth Control,NuvaRing,3,1
Birth Control,Etonogestrel,2,7
Bladder Infection,Nitrofurantoin,2,14
Narcolepsy,Modafinil,8,54
Birth Control,Nexplanon,5,4
Rheumatoid Arthritis,Acetaminophen / hydrocodone,10,159
Anxiety,Propranolol,4,1
Insomnia,Trazodone,5,19
Schizoaffective Disorde,Risperidone,6,17
Birth Control,Aviane,9,18
Pain,Belbuca,9,35
Depression,Cymbalta,1,14
Acne,Dapsone,10,16
Herpes Simplex,Abreva,10,20
Acne,Benzaclin,10,16
Breast Cance,Anastrozole,8,71
Varicella-Zoste,Valacyclovir,9,10
Psoriasis,Etanercept,4,6
Multiple Sclerosis,Interferon beta-1a,9,31
Birth Control,Nexplanon,9,6
Peripheral Neuropathy,Gabapentin,10,183
Seizure Prevention,Lamotrigine,9,40
Bipolar Disorde,Lamotrigine,10,14
Birth Control,Etonogestrel,1,2
Major Depressive Disorde,Trintellix,10,31
Panic Disorde,Xanax,9,43
Headache,Fioricet,9,29
Birth Control,Levonorgestrel,9,1
Birth Control,Desogestrel / ethinyl estradiol,1,2
Birth Control,Ethinyl estradiol / norethindrone,1,8
Headache,Fioricet with Codeine,10,15
Birth Control,Mirena,10,28
Birth Control,Desogestrel / ethinyl estradiol,10,6
"Hypogonadism, Male",Axiron,10,16
Major Depressive Disorde,Viibryd,10,45
Weight Loss,Liraglutide,9,46
Depression,Viibryd,1,16
High Blood Pressure,Amlodipine,3,74
Birth Control,Ethinyl estradiol / levonorgestrel,1,3
Panic Disorde,Celexa,10,46
Birth Control,Nexplanon,10,1
